"","time","treatment","mean","standard_deviation"
"1",2,"Single",1767,288.830746285779
"2",4,"Single",1858.33333333333,45.3857540057083
"3",6,"Single",1478.5,189.163157089323
"4",10,"Single",1472.16666666667,135.221916369598
"5",12,"Single",1150.33333333333,226.267688074693
