bottleneck,treatment,timepoint,pfu,pfu.lower,pfu.upper,cfu,cfu.lower,cfu.upper
2,phageN,t1,NA,NA,NA,1.95E+08,5.19E+07,7.33E+08
3,phageN,t1,NA,NA,NA,2.58E+08,4.86E+06,1.37E+10
4,phageN,t1,NA,NA,NA,3.45E+08,6.50E+06,1.83E+10
5,phageN,t1,NA,NA,NA,1.50E+08,2.82E+06,7.96E+09
6,phageN,t1,NA,NA,NA,1.46E+08,2.74E+06,7.73E+09
7,phageN,t1,NA,NA,NA,3.07E+08,5.78E+06,1.63E+10
8,phageN,t1,NA,NA,NA,3.28E+08,6.18E+06,1.74E+10
9,phageN,t1,NA,NA,NA,2.71E+08,5.11E+06,1.44E+10
2,phageN,t2,NA,NA,NA,2.02E+08,5.38E+07,7.60E+08
3,phageN,t2,NA,NA,NA,1.22E+08,2.30E+06,6.46E+09
4,phageN,t2,NA,NA,NA,1.73E+06,3.27E+04,9.20E+07
5,phageN,t2,NA,NA,NA,1.70E+05,3.20E+03,9.01E+06
6,phageN,t2,NA,NA,NA,1.36E+06,2.57E+04,7.23E+07
7,phageN,t2,NA,NA,NA,2.92E+06,5.50E+04,1.55E+08
8,phageN,t2,NA,NA,NA,9.12E+05,1.72E+04,4.84E+07
9,phageN,t2,NA,NA,NA,1.65E+06,3.11E+04,8.77E+07
2,phageN,t3,NA,NA,NA,1.54E+07,4.11E+06,5.80E+07
3,phageN,t3,NA,NA,NA,5.54E+07,1.04E+06,2.94E+09
4,phageN,t3,NA,NA,NA,8.51E+06,1.60E+05,4.52E+08
5,phageN,t3,NA,NA,NA,1.12E+06,2.12E+04,5.96E+07
6,phageN,t3,NA,NA,NA,7.51E+03,1.41E+02,3.98E+05
7,phageN,t3,NA,NA,NA,3.76E+03,7.08E+01,2.00E+05
8,phageN,t3,NA,NA,NA,8.09E+02,1.52E+01,4.29E+04
9,phageN,t3,NA,NA,NA,3.38E+01,6.37E-01,1.80E+03
2,phageN,t4,NA,NA,NA,1.84E+06,4.88E+05,6.90E+06
3,phageN,t4,NA,NA,NA,1.53E+06,2.88E+04,8.11E+07
4,phageN,t4,NA,NA,NA,8.80E+05,1.66E+04,4.67E+07
5,phageN,t4,NA,NA,NA,1.62E+04,3.06E+02,8.62E+05
6,phageN,t4,NA,NA,NA,4.21E+03,7.92E+01,2.23E+05
7,phageN,t4,NA,NA,NA,4.74E+03,8.93E+01,2.51E+05
8,phageN,t4,NA,NA,NA,1.74E+01,3.29E-01,9.26E+02
9,phageN,t4,NA,NA,NA,6.48E-02,1.22E-03,3.44E+00
2,phageN,t5,NA,NA,NA,1.30E+06,3.46E+05,4.89E+06
3,phageN,t5,NA,NA,NA,1.28E+06,2.42E+04,6.81E+07
4,phageN,t5,NA,NA,NA,5.10E+05,9.61E+03,2.71E+07
5,phageN,t5,NA,NA,NA,8.06E+03,1.52E+02,4.28E+05
6,phageN,t5,NA,NA,NA,2.23E+03,4.21E+01,1.18E+05
7,phageN,t5,NA,NA,NA,2.82E+03,5.31E+01,1.50E+05
8,phageN,t5,NA,NA,NA,8.94E+00,1.68E-01,4.74E+02
9,phageN,t5,NA,NA,NA,1.51E-03,2.84E-05,8.00E-02
2,crisprN,t0,5.13E+04,4.50E+03,5.84E+05,3.20E+06,7.56E+04,1.35E+08
3,crisprN,t0,4.22E+04,3.70E+03,4.80E+05,3.85E+06,9.11E+04,1.63E+08
4,crisprN,t0,4.72E+04,4.14E+03,5.37E+05,3.43E+06,8.11E+04,1.45E+08
5,crisprN,t0,4.10E+04,3.61E+03,4.67E+05,3.04E+06,7.18E+04,1.28E+08
6,crisprN,t0,1.93E+04,1.70E+03,2.20E+05,3.17E+06,7.50E+04,1.34E+08
7,crisprN,t0,1.46E+04,1.28E+03,1.66E+05,5.55E+06,1.31E+05,2.35E+08
