ID,bottleneck,timepoint,pfu,cfu,raw,dilution,treatment
1,8,t4,0.00E+00,0.00E+00,,,crisprN
2,8,t4,0.00E+00,0.00E+00,,,crisprN
3,8,t4,0.00E+00,0.00E+00,,,crisprN
1,9,t4,0.00E+00,0.00E+00,,,crisprN
2,9,t4,0.00E+00,0.00E+00,,,crisprN
3,9,t4,0.00E+00,0.00E+00,,,crisprN
1,2,t5,4.00E+02,2.80E+08,,,crisprN
2,2,t5,0.00E+00,3.00E+08,,,crisprN
3,2,t5,1.20E+03,4.20E+08,,,crisprN
1,3,t5,0.00E+00,3.60E+08,,,crisprN
2,3,t5,0.00E+00,3.60E+09,,,crisprN
3,3,t5,0.00E+00,4.80E+08,,,crisprN
1,4,t5,1.80E+04,1.20E+08,,,crisprN
2,4,t5,0.00E+00,2.60E+08,,,crisprN
3,4,t5,0.00E+00,3.20E+08,,,crisprN
1,5,t5,0.00E+00,2.80E+08,,,crisprN
2,5,t5,0.00E+00,2.80E+08,,,crisprN
3,5,t5,0.00E+00,2.80E+08,,,crisprN
1,6,t5,0.00E+00,1.80E+08,,,crisprN
2,6,t5,0.00E+00,1.40E+08,,,crisprN
3,6,t5,0.00E+00,1.00E+08,,,crisprN
1,7,t5,0.00E+00,2.40E+06,,,crisprN
2,7,t5,0.00E+00,6.00E+06,,,crisprN
3,7,t5,0.00E+00,3.20E+06,,,crisprN
1,8,t5,0.00E+00,0.00E+00,,,crisprN
2,8,t5,0.00E+00,0.00E+00,,,crisprN
3,8,t5,0.00E+00,0.00E+00,,,crisprN
1,9,t5,0.00E+00,0.00E+00,,,crisprN
2,9,t5,0.00E+00,0.00E+00,,,crisprN
3,9,t5,0.00E+00,0.00E+00,,,crisprN
