bottleneck,variable,mean,lower,upper
monoculture,Sensitive,0.02,0.005,0.05
monoculture,SM,0.09,0.05,0.14
monoculture,CRISPR,0.89,0.83,0.93
50-clone,Sensitive,0.03,0.01,0.07
50-clone,SM,0.04,0.02,0.09
50-clone,CRISPR,0.93,0.88,0.96
5-clone,Sensitive,0.06,0.03,0.1
5-clone,SM,0.03,0.01,0.07
5-clone,CRISPR,0.91,0.86,0.95
