Clone,Bottleneck,Replicate,Phenotype
21,5-clone,2,SM
22,5-clone,2,CRISPR
23,5-clone,2,SM
24,5-clone,2,SM
1,5-clone,3,CRISPR
2,5-clone,3,CRISPR
3,5-clone,3,CRISPR
4,5-clone,3,CRISPR
5,5-clone,3,CRISPR
6,5-clone,3,CRISPR
7,5-clone,3,CRISPR
8,5-clone,3,CRISPR
9,5-clone,3,CRISPR
10,5-clone,3,CRISPR
11,5-clone,3,CRISPR
12,5-clone,3,CRISPR
13,5-clone,3,CRISPR
14,5-clone,3,CRISPR
15,5-clone,3,CRISPR
16,5-clone,3,CRISPR
17,5-clone,3,CRISPR
18,5-clone,3,CRISPR
19,5-clone,3,CRISPR
20,5-clone,3,CRISPR
21,5-clone,3,CRISPR
22,5-clone,3,CRISPR
23,5-clone,3,CRISPR
24,5-clone,3,CRISPR
1,5-clone,4,CRISPR
2,5-clone,4,CRISPR
3,5-clone,4,CRISPR
4,5-clone,4,CRISPR
5,5-clone,4,CRISPR
6,5-clone,4,CRISPR
7,5-clone,4,CRISPR
8,5-clone,4,CRISPR
9,5-clone,4,CRISPR
10,5-clone,4,CRISPR
11,5-clone,4,CRISPR
12,5-clone,4,CRISPR
13,5-clone,4,CRISPR
14,5-clone,4,CRISPR
15,5-clone,4,CRISPR
16,5-clone,4,CRISPR
17,5-clone,4,CRISPR
18,5-clone,4,CRISPR
19,5-clone,4,CRISPR
20,5-clone,4,CRISPR
21,5-clone,4,CRISPR
22,5-clone,4,CRISPR
23,5-clone,4,CRISPR
24,5-clone,4,CRISPR
1,5-clone,5,CRISPR
2,5-clone,5,CRISPR
3,5-clone,5,CRISPR
4,5-clone,5,CRISPR
5,5-clone,5,CRISPR
6,5-clone,5,CRISPR
7,5-clone,5,CRISPR
8,5-clone,5,CRISPR
9,5-clone,5,CRISPR
10,5-clone,5,CRISPR
11,5-clone,5,CRISPR
12,5-clone,5,CRISPR
13,5-clone,5,CRISPR
14,5-clone,5,CRISPR
15,5-clone,5,CRISPR
16,5-clone,5,CRISPR
17,5-clone,5,CRISPR
18,5-clone,5,CRISPR
19,5-clone,5,CRISPR
20,5-clone,5,CRISPR
21,5-clone,5,CRISPR
22,5-clone,5,CRISPR
23,5-clone,5,CRISPR
24,5-clone,5,CRISPR
1,5-clone,6,CRISPR
2,5-clone,6,CRISPR
3,5-clone,6,CRISPR
4,5-clone,6,CRISPR
5,5-clone,6,CRISPR
6,5-clone,6,CRISPR
7,5-clone,6,CRISPR
8,5-clone,6,CRISPR
9,5-clone,6,CRISPR
10,5-clone,6,CRISPR
11,5-clone,6,CRISPR
12,5-clone,6,CRISPR
13,5-clone,6,CRISPR
14,5-clone,6,Sensitive
15,5-clone,6,CRISPR
16,5-clone,6,CRISPR
17,5-clone,6,CRISPR
18,5-clone,6,CRISPR
19,5-clone,6,CRISPR
20,5-clone,6,CRISPR
21,5-clone,6,CRISPR
22,5-clone,6,CRISPR
23,5-clone,6,Sensitive
24,5-clone,6,CRISPR
1,50-clone,1,CRISPR
2,50-clone,1,CRISPR
3,50-clone,1,CRISPR
4,50-clone,1,CRISPR
5,50-clone,1,CRISPR
6,50-clone,1,CRISPR
7,50-clone,1,CRISPR
8,50-clone,1,CRISPR
9,50-clone,1,CRISPR
10,50-clone,1,CRISPR
11,50-clone,1,CRISPR
12,50-clone,1,CRISPR
13,50-clone,1,CRISPR
14,50-clone,1,CRISPR
15,50-clone,1,CRISPR
16,50-clone,1,CRISPR
17,50-clone,1,CRISPR
18,50-clone,1,CRISPR
19,50-clone,1,CRISPR
20,50-clone,1,CRISPR
21,50-clone,1,CRISPR
22,50-clone,1,CRISPR
23,50-clone,1,CRISPR
24,50-clone,1,CRISPR
1,50-clone,2,CRISPR
2,50-clone,2,CRISPR
3,50-clone,2,CRISPR
4,50-clone,2,CRISPR
5,50-clone,2,CRISPR
6,50-clone,2,CRISPR
7,50-clone,2,CRISPR
8,50-clone,2,CRISPR
9,50-clone,2,CRISPR
10,50-clone,2,SM
11,50-clone,2,CRISPR
12,50-clone,2,CRISPR
13,50-clone,2,CRISPR
14,50-clone,2,CRISPR
15,50-clone,2,CRISPR
16,50-clone,2,CRISPR
17,50-clone,2,CRISPR
18,50-clone,2,na
19,50-clone,2,na
20,50-clone,2,na
21,50-clone,2,na
22,50-clone,2,na
23,50-clone,2,na
24,50-clone,2,na
1,50-clone,3,CRISPR
2,50-clone,3,CRISPR
3,50-clone,3,CRISPR
4,50-clone,3,SM
5,50-clone,3,SM
6,50-clone,3,Sensitive
7,50-clone,3,Sensitive
8,50-clone,3,CRISPR
9,50-clone,3,CRISPR
10,50-clone,3,CRISPR
11,50-clone,3,CRISPR
12,50-clone,3,CRISPR
13,50-clone,3,SM
14,50-clone,3,CRISPR
15,50-clone,3,SM
16,50-clone,3,CRISPR
17,50-clone,3,CRISPR
18,50-clone,3,CRISPR
19,50-clone,3,CRISPR
20,50-clone,3,CRISPR
21,50-clone,3,CRISPR
22,50-clone,3,SM
23,50-clone,3,CRISPR
24,50-clone,3,CRISPR
1,50-clone,4,CRISPR
2,50-clone,4,CRISPR
3,50-clone,4,CRISPR
4,50-clone,4,CRISPR
5,50-clone,4,CRISPR
6,50-clone,4,CRISPR
7,50-clone,4,CRISPR
8,50-clone,4,CRISPR
9,50-clone,4,CRISPR
10,50-clone,4,CRISPR
11,50-clone,4,CRISPR
12,50-clone,4,CRISPR
13,50-clone,4,CRISPR
14,50-clone,4,CRISPR
15,50-clone,4,CRISPR
16,50-clone,4,CRISPR
17,50-clone,4,CRISPR
18,50-clone,4,CRISPR
19,50-clone,4,CRISPR
20,50-clone,4,CRISPR
21,50-clone,4,CRISPR
22,50-clone,4,CRISPR
23,50-clone,4,CRISPR
24,50-clone,4,CRISPR
1,50-clone,5,CRISPR
2,50-clone,5,CRISPR
3,50-clone,5,CRISPR
4,50-clone,5,CRISPR
5,50-clone,5,CRISPR
6,50-clone,5,CRISPR
7,50-clone,5,CRISPR
8,50-clone,5,CRISPR
9,50-clone,5,CRISPR
10,50-clone,5,CRISPR
11,50-clone,5,CRISPR
12,50-clone,5,CRISPR
13,50-clone,5,CRISPR
14,50-clone,5,CRISPR
15,50-clone,5,CRISPR
16,50-clone,5,CRISPR
