time_to_death,status,replicate,bottleneck
4,1,1,2
4,1,2,2
4,1,3,2
4,1,4,2
4,1,5,2
4,1,6,2
4,1,1,3
4,1,2,3
4,1,3,3
4,1,4,3
4,1,5,3
4,1,6,3
4,1,1,4
4,1,2,4
4,1,3,4
4,1,4,4
4,1,5,4
4,1,6,4
4,1,1,5
4,1,2,5
4,1,3,5
4,1,4,5
3,1,5,5
3,1,6,5
4,1,1,6
3,1,2,6
3,1,3,6
3,1,4,6
4,1,5,6
4,1,6,6
4,1,1,7
3,1,2,7
4,1,3,7
4,1,4,7
4,1,5,7
4,1,6,7
3,1,1,8
4,1,2,8
4,1,3,8
4,1,4,8
3,1,5,8
4,1,6,8
3,1,1,9
3,1,2,9
3,1,3,9
3,1,4,9
3,1,5,9
3,1,6,9
