ID,bottleneck,timepoint,pfu,cfu
107.6,7,t4,0.00E+00,
108.1,8,t4,0.00E+00,
108.2,8,t4,0.00E+00,
108.3,8,t4,0.00E+00,
108.4,8,t4,0.00E+00,
108.5,8,t4,0.00E+00,
108.6,8,t4,0.00E+00,
109.1,9,t4,0.00E+00,
109.2,9,t4,0.00E+00,
109.3,9,t4,0.00E+00,
109.4,9,t4,0.00E+00,
109.5,9,t4,0.00E+00,
109.6,9,t4,0.00E+00,
102.1,2,t5,0.00E+00,
102.2,2,t5,0.00E+00,
102.3,2,t5,0.00E+00,
102.4,2,t5,0.00E+00,
102.5,2,t5,0.00E+00,
102.6,2,t5,0.00E+00,
103.1,3,t5,0.00E+00,
103.2,3,t5,0.00E+00,
103.3,3,t5,0.00E+00,
103.4,3,t5,0.00E+00,
103.5,3,t5,0.00E+00,
103.6,3,t5,0.00E+00,
104.1,4,t5,0.00E+00,
104.2,4,t5,0.00E+00,
104.3,4,t5,0.00E+00,
104.4,4,t5,0.00E+00,
104.5,4,t5,0.00E+00,
104.6,4,t5,0.00E+00,
105.1,5,t5,0.00E+00,
105.2,5,t5,0.00E+00,
105.3,5,t5,0.00E+00,
105.4,5,t5,0.00E+00,
105.5,5,t5,0.00E+00,
105.6,5,t5,0.00E+00,
106.1,6,t5,0.00E+00,
106.2,6,t5,0.00E+00,
106.3,6,t5,0.00E+00,
106.4,6,t5,0.00E+00,
106.5,6,t5,0.00E+00,
106.6,6,t5,0.00E+00,
107.1,7,t5,0.00E+00,
107.2,7,t5,0.00E+00,
107.3,7,t5,0.00E+00,
107.4,7,t5,0.00E+00,
107.5,7,t5,0.00E+00,
107.6,7,t5,0.00E+00,
108.1,8,t5,0.00E+00,
108.2,8,t5,0.00E+00,
108.3,8,t5,0.00E+00,
108.4,8,t5,0.00E+00,
108.5,8,t5,0.00E+00,
108.6,8,t5,0.00E+00,
109.1,9,t5,0.00E+00,
109.2,9,t5,0.00E+00,
109.3,9,t5,0.00E+00,
109.4,9,t5,0.00E+00,
109.5,9,t5,0.00E+00,
109.6,9,t5,0.00E+00,
