Clone,Bottleneck,Replicate,Phenotype
17,10000,5,CRISPR
18,10000,5,CRISPR
19,10000,5,CRISPR
20,10000,5,CRISPR
21,10000,5,CRISPR
22,10000,5,Sensitive
23,10000,5,CRISPR
24,10000,5,CRISPR
1,10000,6,SM
2,10000,6,CRISPR
3,10000,6,SM
4,10000,6,SM
5,10000,6,CRISPR
6,10000,6,CRISPR
7,10000,6,CRISPR
8,10000,6,CRISPR
9,10000,6,CRISPR
10,10000,6,CRISPR
11,10000,6,CRISPR
12,10000,6,CRISPR
13,10000,6,SM
14,10000,6,CRISPR
15,10000,6,CRISPR
16,10000,6,SM
17,10000,6,SM
18,10000,6,CRISPR
19,10000,6,CRISPR
20,10000,6,CRISPR
21,10000,6,CRISPR
22,10000,6,CRISPR
23,10000,6,CRISPR
24,10000,6,CRISPR
1,100000,1,CRISPR
2,100000,1,SM
3,100000,1,CRISPR
4,100000,1,CRISPR
5,100000,1,CRISPR
6,100000,1,CRISPR
7,100000,1,SM
8,100000,1,CRISPR
9,100000,1,SM
10,100000,1,CRISPR
11,100000,1,CRISPR
12,100000,1,CRISPR
13,100000,1,CRISPR
14,100000,1,Sensitive
15,100000,1,CRISPR
16,100000,1,CRISPR
17,100000,1,SM
18,100000,1,CRISPR
19,100000,1,CRISPR
20,100000,1,CRISPR
21,100000,1,CRISPR
22,100000,1,CRISPR
23,100000,1,CRISPR
24,100000,1,SM
1,100000,2,CRISPR
2,100000,2,CRISPR
3,100000,2,CRISPR
4,100000,2,CRISPR
5,100000,2,CRISPR
6,100000,2,CRISPR
7,100000,2,CRISPR
8,100000,2,CRISPR
9,100000,2,CRISPR
10,100000,2,CRISPR
11,100000,2,CRISPR
12,100000,2,CRISPR
13,100000,2,CRISPR
14,100000,2,CRISPR
15,100000,2,CRISPR
16,100000,2,CRISPR
17,100000,2,CRISPR
18,100000,2,CRISPR
19,100000,2,CRISPR
20,100000,2,CRISPR
21,100000,2,CRISPR
22,100000,2,CRISPR
23,100000,2,CRISPR
24,100000,2,CRISPR
1,100000,3,SM
2,100000,3,CRISPR
3,100000,3,CRISPR
4,100000,3,CRISPR
5,100000,3,CRISPR
6,100000,3,CRISPR
7,100000,3,CRISPR
8,100000,3,CRISPR
9,100000,3,CRISPR
10,100000,3,CRISPR
11,100000,3,CRISPR
12,100000,3,CRISPR
13,100000,3,CRISPR
14,100000,3,CRISPR
15,100000,3,SM
16,100000,3,CRISPR
17,100000,3,CRISPR
18,100000,3,Sensitive
19,100000,3,CRISPR
20,100000,3,CRISPR
21,100000,3,CRISPR
22,100000,3,CRISPR
23,100000,3,CRISPR
24,100000,3,CRISPR
1,100000,4,CRISPR
2,100000,4,SM
3,100000,4,CRISPR
4,100000,4,CRISPR
5,100000,4,CRISPR
6,100000,4,SM
7,100000,4,CRISPR
8,100000,4,SM
9,100000,4,CRISPR
10,100000,4,SM
11,100000,4,Sensitive
12,100000,4,Sensitive
13,100000,4,CRISPR
14,100000,4,CRISPR
15,100000,4,CRISPR
16,100000,4,CRISPR
17,100000,4,CRISPR
18,100000,4,Sensitive
19,100000,4,Sensitive
20,100000,4,CRISPR
21,100000,4,CRISPR
22,100000,4,CRISPR
23,100000,4,SM
24,100000,4,SM
1,100000,5,SM
2,100000,5,SM
3,100000,5,CRISPR
4,100000,5,CRISPR
5,100000,5,Sensitive
6,100000,5,CRISPR
7,100000,5,Sensitive
8,100000,5,CRISPR
9,100000,5,CRISPR
10,100000,5,CRISPR
11,100000,5,CRISPR
12,100000,5,CRISPR
13,100000,5,SM
14,100000,5,CRISPR
15,100000,5,CRISPR
16,100000,5,CRISPR
17,100000,5,SM
18,100000,5,CRISPR
19,100000,5,CRISPR
20,100000,5,CRISPR
21,100000,5,CRISPR
22,100000,5,CRISPR
23,100000,5,CRISPR
24,100000,5,CRISPR
1,100000,6,CRISPR
2,100000,6,CRISPR
3,100000,6,CRISPR
4,100000,6,CRISPR
5,100000,6,CRISPR
6,100000,6,CRISPR
7,100000,6,CRISPR
8,100000,6,CRISPR
9,100000,6,CRISPR
10,100000,6,SM
11,100000,6,Sensitive
12,100000,6,CRISPR
13,100000,6,CRISPR
14,100000,6,CRISPR
15,100000,6,CRISPR
16,100000,6,Sensitive
17,100000,6,SM
18,100000,6,CRISPR
19,100000,6,Sensitive
20,100000,6,Sensitive
21,100000,6,CRISPR
22,100000,6,CRISPR
23,100000,6,CRISPR
24,100000,6,SM
1,1000000,1,CRISPR
2,1000000,1,Sensitive
3,1000000,1,CRISPR
4,1000000,1,CRISPR
5,1000000,1,CRISPR
6,1000000,1,CRISPR
7,1000000,1,CRISPR
8,1000000,1,CRISPR
9,1000000,1,Sensitive
10,1000000,1,CRISPR
11,1000000,1,CRISPR
12,1000000,1,CRISPR
13,1000000,1,CRISPR
14,1000000,1,CRISPR
15,1000000,1,CRISPR
16,1000000,1,Sensitive
17,1000000,1,CRISPR
18,1000000,1,CRISPR
19,1000000,1,Sensitive
20,1000000,1,CRISPR
21,1000000,1,CRISPR
22,1000000,1,CRISPR
23,1000000,1,CRISPR
24,1000000,1,CRISPR
1,1000000,2,SM
2,1000000,2,SM
3,1000000,2,CRISPR
4,1000000,2,Sensitive
5,1000000,2,CRISPR
6,1000000,2,CRISPR
7,1000000,2,CRISPR
8,1000000,2,Sensitive
9,1000000,2,CRISPR
10,1000000,2,CRISPR
11,1000000,2,CRISPR
12,1000000,2,CRISPR
13,1000000,2,CRISPR
14,1000000,2,CRISPR
15,1000000,2,CRISPR
16,1000000,2,CRISPR
17,1000000,2,CRISPR
18,1000000,2,CRISPR
19,1000000,2,CRISPR
20,1000000,2,CRISPR
21,1000000,2,CRISPR
22,1000000,2,CRISPR
23,1000000,2,CRISPR
24,1000000,2,CRISPR
1,1000000,3,SM
2,1000000,3,Sensitive
3,1000000,3,CRISPR
4,1000000,3,CRISPR
5,1000000,3,CRISPR
6,1000000,3,CRISPR
7,1000000,3,Sensitive
8,1000000,3,CRISPR
9,1000000,3,CRISPR
10,1000000,3,CRISPR
11,1000000,3,Sensitive
12,1000000,3,CRISPR
13,1000000,3,SM
14,1000000,3,CRISPR
15,1000000,3,CRISPR
16,1000000,3,CRISPR
17,1000000,3,CRISPR
18,1000000,3,CRISPR
19,1000000,3,CRISPR
20,1000000,3,SM
21,1000000,3,CRISPR
22,1000000,3,CRISPR
23,1000000,3,CRISPR
24,1000000,3,CRISPR
1,1000000,4,CRISPR
2,1000000,4,CRISPR
3,1000000,4,SM
4,1000000,4,CRISPR
5,1000000,4,Sensitive
6,1000000,4,CRISPR
7,1000000,4,Sensitive
8,1000000,4,CRISPR
9,1000000,4,SM
10,1000000,4,CRISPR
11,1000000,4,CRISPR
12,1000000,4,CRISPR
13,1000000,4,Sensitive
14,1000000,4,Sensitive
15,1000000,4,CRISPR
16,1000000,4,CRISPR
17,1000000,4,CRISPR
18,1000000,4,CRISPR
19,1000000,4,CRISPR
20,1000000,4,CRISPR
21,1000000,4,SM
22,1000000,4,SM
23,1000000,4,SM
24,1000000,4,CRISPR
1,1000000,5,CRISPR
2,1000000,5,SM
3,1000000,5,CRISPR
4,1000000,5,Sensitive
5,1000000,5,SM
6,1000000,5,CRISPR
7,1000000,5,CRISPR
8,1000000,5,CRISPR
9,1000000,5,CRISPR
10,1000000,5,CRISPR
11,1000000,5,CRISPR
12,1000000,5,Sensitive
13,1000000,5,CRISPR
14,1000000,5,CRISPR
15,1000000,5,CRISPR
16,1000000,5,SM
17,1000000,5,Sensitive
18,1000000,5,CRISPR
19,1000000,5,SM
20,1000000,5,CRISPR
21,1000000,5,Sensitive
22,1000000,5,CRISPR
23,1000000,5,Sensitive
24,1000000,5,CRISPR
1,1000000,6,CRISPR
2,1000000,6,CRISPR
3,1000000,6,CRISPR
4,1000000,6,SM
5,1000000,6,CRISPR
6,1000000,6,CRISPR
7,1000000,6,CRISPR
8,1000000,6,CRISPR
9,1000000,6,CRISPR
10,1000000,6,Sensitive
11,1000000,6,SM
12,1000000,6,SM
13,1000000,6,CRISPR
14,1000000,6,CRISPR
15,1000000,6,CRISPR
16,1000000,6,SM
17,1000000,6,CRISPR
18,1000000,6,CRISPR
19,1000000,6,SM
20,1000000,6,CRISPR
21,1000000,6,CRISPR
22,1000000,6,CRISPR
23,1000000,6,CRISPR
24,1000000,6,CRISPR
1,10000000,1,CRISPR
2,10000000,1,CRISPR
3,10000000,1,Sensitive
4,10000000,1,CRISPR
5,10000000,1,CRISPR
6,10000000,1,CRISPR
7,10000000,1,SM
8,10000000,1,SM
9,10000000,1,SM
10,10000000,1,Sensitive
11,10000000,1,SM
12,10000000,1,CRISPR
13,10000000,1,Sensitive
14,10000000,1,Sensitive
15,10000000,1,Sensitive
16,10000000,1,CRISPR
17,10000000,1,CRISPR
18,10000000,1,CRISPR
19,10000000,1,CRISPR
20,10000000,1,SM
21,10000000,1,CRISPR
22,10000000,1,Sensitive
23,10000000,1,Sensitive
24,10000000,1,Sensitive
1,10000000,2,CRISPR
2,10000000,2,Sensitive
3,10000000,2,Sensitive
4,10000000,2,SM
5,10000000,2,CRISPR
6,10000000,2,SM
7,10000000,2,CRISPR
8,10000000,2,Sensitive
9,10000000,2,CRISPR
10,10000000,2,SM
11,10000000,2,CRISPR
12,10000000,2,CRISPR
13,10000000,2,CRISPR
14,10000000,2,CRISPR
15,10000000,2,CRISPR
16,10000000,2,CRISPR
17,10000000,2,SM
18,10000000,2,Sensitive
19,10000000,2,CRISPR
20,10000000,2,CRISPR
21,10000000,2,SM
22,10000000,2,CRISPR
23,10000000,2,CRISPR
24,10000000,2,CRISPR
1,10000000,3,CRISPR
2,10000000,3,CRISPR
3,10000000,3,Sensitive
4,10000000,3,CRISPR
5,10000000,3,CRISPR
6,10000000,3,CRISPR
7,10000000,3,Sensitive
8,10000000,3,CRISPR
9,10000000,3,CRISPR
10,10000000,3,Sensitive
11,10000000,3,Sensitive
12,10000000,3,CRISPR
13,10000000,3,CRISPR
14,10000000,3,CRISPR
15,10000000,3,CRISPR
16,10000000,3,Sensitive
17,10000000,3,Sensitive
18,10000000,3,CRISPR
19,10000000,3,SM
20,10000000,3,CRISPR
21,10000000,3,CRISPR
22,10000000,3,CRISPR
23,10000000,3,SM
24,10000000,3,CRISPR
1,10000000,4,SM
2,10000000,4,SM
3,10000000,4,CRISPR
4,10000000,4,Sensitive
5,10000000,4,CRISPR
6,10000000,4,Sensitive
7,10000000,4,Sensitive
8,10000000,4,CRISPR
9,10000000,4,CRISPR
10,10000000,4,CRISPR
11,10000000,4,CRISPR
12,10000000,4,CRISPR
13,10000000,4,CRISPR
14,10000000,4,SM
15,10000000,4,CRISPR
16,10000000,4,CRISPR
17,10000000,4,Sensitive
18,10000000,4,CRISPR
19,10000000,4,CRISPR
20,10000000,4,CRISPR
21,10000000,4,CRISPR
22,10000000,4,Sensitive
23,10000000,4,CRISPR
24,10000000,4,CRISPR
1,10000000,5,CRISPR
2,10000000,5,SM
3,10000000,5,SM
4,10000000,5,SM
5,10000000,5,SM
6,10000000,5,CRISPR
7,10000000,5,Sensitive
8,10000000,5,SM
9,10000000,5,CRISPR
10,10000000,5,SM
11,10000000,5,SM
12,10000000,5,CRISPR
13,10000000,5,CRISPR
14,10000000,5,Sensitive
15,10000000,5,CRISPR
16,10000000,5,Sensitive
17,10000000,5,CRISPR
18,10000000,5,CRISPR
19,10000000,5,SM
20,10000000,5,CRISPR
21,10000000,5,CRISPR
22,10000000,5,CRISPR
23,10000000,5,CRISPR
24,10000000,5,CRISPR
1,10000000,6,CRISPR
2,10000000,6,CRISPR
3,10000000,6,CRISPR
4,10000000,6,Sensitive
5,10000000,6,CRISPR
6,10000000,6,CRISPR
7,10000000,6,CRISPR
8,10000000,6,CRISPR
9,10000000,6,Sensitive
10,10000000,6,Sensitive
11,10000000,6,CRISPR
12,10000000,6,Sensitive
13,10000000,6,Sensitive
14,10000000,6,CRISPR
15,10000000,6,Sensitive
16,10000000,6,Sensitive
17,10000000,6,CRISPR
18,10000000,6,CRISPR
19,10000000,6,CRISPR
20,10000000,6,Sensitive
21,10000000,6,CRISPR
22,10000000,6,CRISPR
23,10000000,6,Sensitive
24,10000000,6,CRISPR
1,100000000,1,na
2,100000000,1,na
3,100000000,1,na
4,100000000,1,na
5,100000000,1,na
6,100000000,1,na
7,100000000,1,na
8,100000000,1,na
9,100000000,1,na
10,100000000,1,na
11,100000000,1,na
12,100000000,1,na
13,100000000,1,na
14,100000000,1,na
15,100000000,1,na
16,100000000,1,na
17,100000000,1,na
18,100000000,1,na
19,100000000,1,na
20,100000000,1,na
21,100000000,1,na
22,100000000,1,na
23,100000000,1,na
24,100000000,1,na
1,100000000,2,na
2,100000000,2,na
3,100000000,2,na
4,100000000,2,na
5,100000000,2,na
6,100000000,2,na
7,100000000,2,na
8,100000000,2,na
9,100000000,2,na
10,100000000,2,na
11,100000000,2,na
12,100000000,2,na
13,100000000,2,na
14,100000000,2,na
15,100000000,2,na
16,100000000,2,na
17,100000000,2,na
18,100000000,2,na
19,100000000,2,na
20,100000000,2,na
21,100000000,2,na
22,100000000,2,na
23,100000000,2,na
24,100000000,2,na
1,100000000,3,CRISPR
2,100000000,3,CRISPR
3,100000000,3,CRISPR
4,100000000,3,CRISPR
5,100000000,3,CRISPR
6,100000000,3,CRISPR
7,100000000,3,CRISPR
8,100000000,3,CRISPR
9,100000000,3,CRISPR
10,100000000,3,CRISPR
11,100000000,3,CRISPR
12,100000000,3,CRISPR
13,100000000,3,CRISPR
14,100000000,3,CRISPR
15,100000000,3,CRISPR
16,100000000,3,CRISPR
17,100000000,3,CRISPR
18,100000000,3,CRISPR
19,100000000,3,CRISPR
20,100000000,3,CRISPR
21,100000000,3,CRISPR
22,100000000,3,CRISPR
23,100000000,3,CRISPR
24,100000000,3,CRISPR
1,100000000,4,CRISPR
2,100000000,4,CRISPR
3,100000000,4,CRISPR
4,100000000,4,CRISPR
5,100000000,4,CRISPR
6,100000000,4,CRISPR
7,100000000,4,CRISPR
8,100000000,4,CRISPR
9,100000000,4,CRISPR
10,100000000,4,CRISPR
11,100000000,4,CRISPR
12,100000000,4,CRISPR
13,100000000,4,CRISPR
14,100000000,4,CRISPR
15,100000000,4,CRISPR
16,100000000,4,CRISPR
17,100000000,4,CRISPR
18,100000000,4,CRISPR
19,100000000,4,CRISPR
20,100000000,4,CRISPR
21,100000000,4,CRISPR
22,100000000,4,CRISPR
23,100000000,4,CRISPR
24,100000000,4,CRISPR
1,100000000,5,na
2,100000000,5,na
3,100000000,5,na
4,100000000,5,na
5,100000000,5,na
6,100000000,5,na
7,100000000,5,na
8,100000000,5,na
9,100000000,5,na
10,100000000,5,na
11,100000000,5,na
12,100000000,5,na
13,100000000,5,na
14,100000000,5,na
15,100000000,5,na
16,100000000,5,na
17,100000000,5,na
18,100000000,5,na
19,100000000,5,na
20,100000000,5,na
21,100000000,5,na
22,100000000,5,na
23,100000000,5,na
24,100000000,5,na
1,100000000,6,na
2,100000000,6,na
3,100000000,6,na
4,100000000,6,na
5,100000000,6,na
6,100000000,6,na
7,100000000,6,na
8,100000000,6,na
9,100000000,6,na
10,100000000,6,na
11,100000000,6,na
12,100000000,6,na
13,100000000,6,na
14,100000000,6,na
15,100000000,6,na
16,100000000,6,na
17,100000000,6,na
18,100000000,6,na
19,100000000,6,na
20,100000000,6,na
21,100000000,6,na
22,100000000,6,na
23,100000000,6,na
24,100000000,6,na
1,1000000000,1,na
2,1000000000,1,na
3,1000000000,1,na
4,1000000000,1,na
5,1000000000,1,na
6,1000000000,1,na
7,1000000000,1,na
8,1000000000,1,na
9,1000000000,1,na
10,1000000000,1,na
11,1000000000,1,na
12,1000000000,1,na
13,1000000000,1,na
14,1000000000,1,na
15,1000000000,1,na
16,1000000000,1,na
17,1000000000,1,na
18,1000000000,1,na
19,1000000000,1,na
20,1000000000,1,na
21,1000000000,1,na
22,1000000000,1,na
23,1000000000,1,na
24,1000000000,1,na
1,1000000000,2,na
2,1000000000,2,na
3,1000000000,2,na
4,1000000000,2,na
5,1000000000,2,na
6,1000000000,2,na
7,1000000000,2,na
8,1000000000,2,na
9,1000000000,2,na
10,1000000000,2,na
11,1000000000,2,na
12,1000000000,2,na
13,1000000000,2,na
14,1000000000,2,na
15,1000000000,2,na
16,1000000000,2,na
17,1000000000,2,na
18,1000000000,2,na
19,1000000000,2,na
20,1000000000,2,na
21,1000000000,2,na
22,1000000000,2,na
23,1000000000,2,na
24,1000000000,2,na
1,1000000000,3,na
2,1000000000,3,na
3,1000000000,3,na
4,1000000000,3,na
5,1000000000,3,na
6,1000000000,3,na
7,1000000000,3,na
8,1000000000,3,na
9,1000000000,3,na
10,1000000000,3,na
11,1000000000,3,na
12,1000000000,3,na
13,1000000000,3,na
14,1000000000,3,na
15,1000000000,3,na
16,1000000000,3,na
17,1000000000,3,na
18,1000000000,3,na
19,1000000000,3,na
20,1000000000,3,na
21,1000000000,3,na
22,1000000000,3,na
23,1000000000,3,na
24,1000000000,3,na
1,1000000000,4,na
2,1000000000,4,na
3,1000000000,4,na
4,1000000000,4,na
5,1000000000,4,na
6,1000000000,4,na
7,1000000000,4,na
8,1000000000,4,na
9,1000000000,4,na
10,1000000000,4,na
11,1000000000,4,na
12,1000000000,4,na
13,1000000000,4,na
14,1000000000,4,na
15,1000000000,4,na
16,1000000000,4,na
17,1000000000,4,na
18,1000000000,4,na
19,1000000000,4,na
20,1000000000,4,na
21,1000000000,4,na
22,1000000000,4,na
23,1000000000,4,na
24,1000000000,4,na
1,1000000000,5,na
2,1000000000,5,na
3,1000000000,5,na
4,1000000000,5,na
5,1000000000,5,na
6,1000000000,5,na
7,1000000000,5,na
8,1000000000,5,na
9,1000000000,5,na
10,1000000000,5,na
11,1000000000,5,na
12,1000000000,5,na
13,1000000000,5,na
14,1000000000,5,na
15,1000000000,5,na
16,1000000000,5,na
17,1000000000,5,na
18,1000000000,5,na
19,1000000000,5,na
20,1000000000,5,na
21,1000000000,5,na
22,1000000000,5,na
23,1000000000,5,na
24,1000000000,5,na
