bottleneck,variable,mean,lower,upper
1-clone,Sensitive,0,0,0.01
1-clone,SM,0.15,0.11,0.19
1-clone,CRISPR,0.85,0.8,0.89
5-clone,Sensitive,0.02,0,0.03
5-clone,SM,0.04,0.02,0.06
5-clone,CRISPR,0.94,0.91,0.97
50-clone,Sensitive,0.03,0.02,0.06
50-clone,SM,0.02,0.01,0.05
50-clone,CRISPR,0.94,0.91,0.97
