Bottleneck,Spacer.Number,mean,lower,upper
monoculture,1,0.86,0.7922736,0.9122503
monoculture,2,0.13,0.08,0.2
monoculture,3,0.01,0,0.04
monoculture,4,0,0,0
monoculture,>=5,0,0,0
5-clone,1,0.6,0.51,0.68
5-clone,2,0.35,0.27,0.43
5-clone,3,0.05,0.02,0.1
5-clone,4,0,0,0
5-clone,>=5,0,0,0
50-clone,1,0.61,0.52,0.69
50-clone,2,0.27,0.2,0.36
50-clone,3,0.04,0.01,0.08
50-clone,4,0.04,0.01,0.08
50-clone,>=5,0.04,0.01,0.08
