ID,bottleneck,timepoint,pfu,cfu
1,1-clone,t0,5.40E+04,
2,1-clone,t0,4.20E+04,
3,1-clone,t0,5.20E+04,
4,1-clone,t0,4.40E+04,
5,1-clone,t0,5.20E+04,
6,1-clone,t0,2.80E+04,
7,1-clone,t0,4.80E+04,
8,1-clone,t0,3.20E+04,
9,1-clone,t0,2.40E+04,
10,1-clone,t0,2.00E+04,
11,1-clone,t0,4.60E+04,
12,1-clone,t0,4.60E+04,
1,5-clone,t0,4.20E+04,
2,5-clone,t0,4.40E+04,
3,5-clone,t0,3.00E+04,
4,5-clone,t0,4.80E+04,
5,5-clone,t0,3.60E+04,
6,5-clone,t0,3.40E+04,
7,5-clone,t0,5.60E+04,
8,5-clone,t0,3.80E+04,
9,5-clone,t0,2.20E+04,
10,5-clone,t0,3.80E+04,
11,5-clone,t0,4.60E+04,
12,5-clone,t0,3.80E+04,
1,50-clone,t0,3.60E+04,
2,50-clone,t0,3.20E+04,
3,50-clone,t0,3.20E+04,
4,50-clone,t0,3.20E+04,
5,50-clone,t0,3.80E+04,
6,50-clone,t0,4.40E+04,
7,50-clone,t0,1.60E+04,
8,50-clone,t0,3.20E+04,
9,50-clone,t0,3.20E+04,
10,50-clone,t0,4.20E+04,
11,50-clone,t0,4.00E+04,
12,50-clone,t0,4.60E+04,
1,1-clone,t1,2.00E+10,
2,1-clone,t1,1.60E+10,
3,1-clone,t1,5.40E+10,
4,1-clone,t1,5.80E+09,
5,1-clone,t1,2.00E+10,
6,1-clone,t1,2.60E+11,
7,1-clone,t1,1.00E+10,
8,1-clone,t1,1.80E+10,
9,1-clone,t1,1.40E+10,
10,1-clone,t1,4.80E+09,
11,1-clone,t1,2.60E+10,
12,1-clone,t1,1.40E+10,
1,5-clone,t1,1.00E+12,
2,5-clone,t1,7.00E+11,
3,5-clone,t1,1.20E+10,
4,5-clone,t1,8.00E+09,
5,5-clone,t1,1.20E+10,
6,5-clone,t1,8.00E+09,
7,5-clone,t1,3.60E+11,
8,5-clone,t1,2.00E+10,
9,5-clone,t1,1.20E+10,
10,5-clone,t1,8.00E+09,
11,5-clone,t1,5.40E+11,
12,5-clone,t1,4.60E+10,
1,50-clone,t1,1.60E+10,
2,50-clone,t1,1.40E+10,
3,50-clone,t1,1.60E+10,
4,50-clone,t1,2.00E+10,
5,50-clone,t1,1.80E+10,
6,50-clone,t1,2.00E+10,
7,50-clone,t1,1.80E+10,
8,50-clone,t1,1.00E+10,
9,50-clone,t1,1.20E+10,
10,50-clone,t1,1.60E+10,
11,50-clone,t1,1.00E+10,
12,50-clone,t1,1.60E+10,
1,1-clone,t2,8.00E+04,
2,1-clone,t2,3.00E+05,
3,1-clone,t2,1.60E+08,
4,1-clone,t2,3.00E+05,
5,1-clone,t2,2.40E+06,
6,1-clone,t2,2.60E+05,
7,1-clone,t2,3.40E+09,
8,1-clone,t2,3.60E+09,
9,1-clone,t2,1.40E+08,
10,1-clone,t2,3.60E+06,
11,1-clone,t2,1.40E+07,
12,1-clone,t2,1.00E+05,
1,5-clone,t2,3.00E+04,
2,5-clone,t2,1.40E+06,
3,5-clone,t2,1.60E+06,
4,5-clone,t2,1.60E+06,
5,5-clone,t2,1.00E+06,
6,5-clone,t2,3.80E+06,
7,5-clone,t2,6.00E+05,
8,5-clone,t2,4.60E+05,
9,5-clone,t2,1.60E+06,
10,5-clone,t2,5.20E+06,
11,5-clone,t2,1.60E+05,
12,5-clone,t2,1.60E+05,
1,50-clone,t2,1.20E+05,
2,50-clone,t2,3.20E+05,
3,50-clone,t2,2.00E+06,
4,50-clone,t2,1.80E+05,
5,50-clone,t2,1.60E+05,
6,50-clone,t2,4.60E+05,
7,50-clone,t2,4.80E+05,
8,50-clone,t2,1.20E+06,
9,50-clone,t2,1.60E+05,
10,50-clone,t2,4.40E+04,
11,50-clone,t2,2.60E+05,
12,50-clone,t2,1.80E+05,
1,1-clone,t3,5.80E+09,
2,1-clone,t3,0.00E+00,
3,1-clone,t3,3.60E-09,
4,1-clone,t3,0.00E+00,
5,1-clone,t3,4.60E+10,
6,1-clone,t3,0.00E+00,
7,1-clone,t3,7.00E+08,
8,1-clone,t3,1.00E+12,
9,1-clone,t3,2.60E+10,
10,1-clone,t3,3.40E+09,
11,1-clone,t3,1.80E+10,
12,1-clone,t3,0.00E+00,
1,5-clone,t3,3.00E+07,
2,5-clone,t3,2.60E+09,
3,5-clone,t3,5.20E+11,
4,5-clone,t3,1.20E+12,
5,5-clone,t3,4.00E+02,
6,5-clone,t3,2.60E+10,
7,5-clone,t3,2.60E+05,
8,5-clone,t3,3.20E+06,
9,5-clone,t3,1.00E+03,
10,5-clone,t3,3.20E+09,
11,5-clone,t3,5.20E+07,
12,5-clone,t3,3.80E+07,
1,50-clone,t3,0.00E+00,
2,50-clone,t3,0.00E+00,
3,50-clone,t3,0.00E+00,
4,50-clone,t3,1.20E+03,
5,50-clone,t3,3.60E+02,
6,50-clone,t3,0.00E+00,
7,50-clone,t3,0.00E+00,
8,50-clone,t3,0.00E+00,
9,50-clone,t3,6.00E+02,
10,50-clone,t3,0.00E+00,
11,50-clone,t3,2.00E+02,
12,50-clone,t3,0.00E+00,
1,1-clone,t4,3.80E+08,
2,1-clone,t4,0.00E+00,
3,1-clone,t4,1.20E+09,
4,1-clone,t4,0.00E+00,
5,1-clone,t4,4.00E+09,
6,1-clone,t4,0.00E+00,
7,1-clone,t4,2.20E+05,
8,1-clone,t4,3.00E+09,
9,1-clone,t4,1.80E+09,
10,1-clone,t4,4.80E+11,
11,1-clone,t4,6.00E+07,
12,1-clone,t4,0.00E+00,
1,5-clone,t4,2.00E+10,
2,5-clone,t4,3.40E+08,
3,5-clone,t4,1.40E+06,
4,5-clone,t4,1.40E+06,
5,5-clone,t4,0.00E+00,
6,5-clone,t4,6.00E+06,
7,5-clone,t4,4.60E+08,
8,5-clone,t4,2.00E+02,
9,5-clone,t4,2.40E+03,
10,5-clone,t4,4.00E+09,
11,5-clone,t4,3.90E+08,
12,5-clone,t4,2.20E+10,
1,50-clone,t4,0.00E+00,
2,50-clone,t4,0.00E+00,
3,50-clone,t4,0.00E+00,
4,50-clone,t4,0.00E+00,
5,50-clone,t4,0.00E+00,
6,50-clone,t4,0.00E+00,
7,50-clone,t4,0.00E+00,
8,50-clone,t4,0.00E+00,
9,50-clone,t4,0.00E+00,
10,50-clone,t4,0.00E+00,
11,50-clone,t4,0.00E+00,
12,50-clone,t4,0.00E+00,
1,1-clone,t5,,
2,1-clone,t5,,
3,1-clone,t5,,
4,1-clone,t5,,
5,1-clone,t5,,
6,1-clone,t5,,
7,1-clone,t5,,
8,1-clone,t5,,
9,1-clone,t5,,
10,1-clone,t5,,
11,1-clone,t5,,
12,1-clone,t5,,
1,5-clone,t5,,
2,5-clone,t5,,
3,5-clone,t5,,
4,5-clone,t5,,
5,5-clone,t5,,
6,5-clone,t5,,
7,5-clone,t5,,
8,5-clone,t5,,
9,5-clone,t5,,
10,5-clone,t5,,
11,5-clone,t5,,
12,5-clone,t5,,
1,50-clone,t5,0.00E+00,
2,50-clone,t5,0.00E+00,
3,50-clone,t5,0.00E+00,
4,50-clone,t5,0.00E+00,
5,50-clone,t5,0.00E+00,
6,50-clone,t5,0.00E+00,
7,50-clone,t5,,
8,50-clone,t5,,
9,50-clone,t5,,
10,50-clone,t5,,
11,50-clone,t5,,
12,50-clone,t5,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
